"id_question","answer","mark"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Алгебра, геометрия","1"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Физкультура","2"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Рисование, пение, литература или художественная","3"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Биология","4"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","География, история или иностранные языки","5"
"Вспомните , когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Труд","6"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Ученый, совершающего уникальные научные открытия.","1"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Олимпийский чемпион по плаванию или художественной гимнастике.","2"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Писатель, художник, актер","3"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Детский врач, ветеринар или агроном","4"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Космонавт, путешественник, исследователь","5"
"О какой профессии Вы мечтали в детстве, выберите наиболее близкий вам вариант?","Модельер или дизайнер","6"
"Какие люди Вас всегда восхищают?","С широким кругозором , много знающие.","1"
"Какие люди Вас всегда восхищают?","Строго придерживающиеся здорового образа жизни.","2"
"Какие люди Вас всегда восхищают?","С творческими способностями, талантливые","3"
"Какие люди Вас всегда восхищают?","Заботливые, стремящиеся всегда прийти на помощь.","4"
"Какие люди Вас всегда восхищают?","Жизнерадостные, активные и легкие на подъем.","5"
"Какие люди Вас всегда восхищают?","Умеющие создать необыкновенный уют и тепло вокруг себя.","6"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Научная и познавательная литература».","1"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Спорт».","2"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Искусство и культура».","3"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Домашние животные и комнатные растения».","4"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«История, география и путешествия в разные уголки земного шара».","5"
"Бывая в книжном магазине, возле какого раздел Вы остановитесь?","«Дом. Быт. Уют».","6"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Складом ума: поиск решений сложных задач для вас не составляет особого труда.","1"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Хорошей физической подготовкой — вы долго шли к высоким результатам.","2"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Воображением — многим даже в голову не придёт то, вы запросто придумываете.","3"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Заботливостью – вам нравиться помогать другим, уделять внимание чему-то или кому-то кроме себя.","4"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Смелостью — нужно уметь рисковать.","5"
"Признайтесь, какой своей чертой Вы по-настоящему гордитесь?","Усидчивостью — терпение помогает многого добиться.","6"
"Вы просто не представляете своей жизни без…","Полезной информации.","1"
"Вы просто не представляете своей жизни без…","Постоянного движения.","2"
"Вы просто не представляете своей жизни без…","Возможности выразить чувства и эмоции.","3"
"Вы просто не представляете своей жизни без…","Комнатных растений на подоконниках.","4"
"Вы просто не представляете своей жизни без…","Ярких, незабываемых впечатлений.","5"
"Вы просто не представляете своей жизни без…","Красоты и домашнего уюта.","6"
"Что лучше всего у Вас получается?","Что-либо мастерить","1"
"Что лучше всего у Вас получается?","Попадать в неприятности","2"
"Что лучше всего у Вас получается?","Осваивать новые виды спорта","3"
"Что лучше всего у Вас получается?","Заводить полезные знакомства","4"
"Что лучше всего у Вас получается?","Делать скрупулезную работу","5"
"Что лучше всего у Вас получается?","Удивлять других людей","6"
"Что для Вас хобби?","Способ отдохнуть и отвлечься от повседневности","1"
"Что для Вас хобби?","Возможность интересных знакомств","2"
"Что для Вас хобби?","Возможность поднять самооценку","3"
"Что для Вас хобби?","Возможность проявить творческие способности","4"
"Что для Вас хобби?","Возможность проявить себя","5"
"Что для Вас хобби?","Возможность познать себя","6"
"Оказавшись в новом городе, ты:","Сходишь в музей или театр","1"
"Оказавшись в новом городе, ты:","Будешь отдыхать в номере","2"
"Оказавшись в новом городе, ты:","Пойдешь гулять по улицам","3"
"Оказавшись в новом городе, ты:","Постараешься найти о нем побольше информации","4"
"Оказавшись в новом городе, ты:","Полазаешь по горам","5"
"Оказавшись в новом городе, ты:","Покатаешься на велосипеде","6"
"Что у тебя получается быстро делать?","Изучать что-то новое","1"
"Что у тебя получается быстро делать?","Бегать","2"
"Что у тебя получается быстро делать?","Вникать в суть","3"
"Что у тебя получается быстро делать?","Фантазировать","4"
"Что у тебя получается быстро делать?","Сочинять","5"
"Что у тебя получается быстро делать?","Решать проблемы","6"
"Что для тебя является трудным?","Бездельничать","1"
"Что для тебя является трудным?","Начинать деятельность","2"
"Что для тебя является трудным?","Находить общий язык с незнакомыми","3"
"Что для тебя является трудным?","Монотонная деятельность","4"
"Что для тебя является трудным?","Активная деятельность","5"
"Что для тебя является трудным?","Остановить поиск информации","6"
"Чего тебе не хватает?","Свободного времени","1"
"Чего тебе не хватает?","Мотивации","2"
"Чего тебе не хватает?","Вдохновения","3"
"Чего тебе не хватает?","Отдыха","4"
"Чего тебе не хватает?","Ярких эмоций","5"
"Чего тебе не хватает?","Знаний","6"
"Что тебе больше всего нравилось делать в детстве?","Баловаться","1"
"Что тебе больше всего нравилось делать в детстве?","Решать головоломки","2"
"Что тебе больше всего нравилось делать в детстве?","Собирать пазлы","3"
"Что тебе больше всего нравилось делать в детстве?","Пробовать что-то новое","4"
"Что тебе больше всего нравилось делать в детстве?","Все преображать","5"
"Что тебе больше всего нравилось делать в детстве?","Придумывать что-то новое","6"
"Как ты мог бы себя описать?","Активный","1"
"Как ты мог бы себя описать?","Спокойный","2"
"Как ты мог бы себя описать?","Своеобразный","3"
"Как ты мог бы себя описать?","Яркий","4"
"Как ты мог бы себя описать?","Экспериментатор","5"
"Как ты мог бы себя описать?","Интересный","6"
"Вспомните времена, когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Алгебра, геометрия — Вам всегда были интересны точные науки.","1"
"Вспомните времена, когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Физкультура — Вы активно участвовали во всех спортивных мероприятиях и соревнованиях. ","2"
"Вспомните времена, когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Рисование, пение, литература или художественная культура были Вашим коньком.","3"
"Вспомните времена, когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Биология увлекала Вас больше остальных школьных предметов.","4"
"Вспомните времена, когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","География, история или иностранные языки – именно на этих уроках Вы заинтересованно изучали новые места и события.","5"
"Вспомните времена, когда Вы еще учились в школе: какие предметы больше всего Вам нравились?","Труд — Ваши родители до сих пор хранят сделанные Вами в детстве вещи.","6"
"Все мы в детстве хотели кем-то стать. о какой профессии мечтали Вы?","Ученого, совершающего уникальные научные открытия.","1"
"Все мы в детстве хотели кем-то стать. о какой профессии мечтали Вы?","Олимпийского чемпиона по плаванию или художественной гимнастике.","2"
"Все мы в детстве хотели кем-то стать. о какой профессии мечтали Вы?","Писателя или художника, отражающего в своих произведениях красоту окружающего мира, быть может, вас привлекала сцена  - вы мечтали стать артистом театра и кино.","3"
"Все мы в детстве хотели кем-то стать. о какой профессии мечтали Вы?","Детского врача, ветеринара или агронома – люди с такими профессиями вызывали у вас восторг.","4"
"Все мы в детстве хотели кем-то стать. о какой профессии мечтали Вы?","Космонавта, путешественника или исследователя дикой природы: жизнь этих людей — сплошное приключение.","5"
"Все мы в детстве хотели кем-то стать. о какой профессии мечтали Вы?","Талантливого модельера или дизайнера, который с легкостью может преобразить даже самую скучную и обыденную вещь.","6"
"Бывая в книжном магазине, Вы чаще всего останавливаетесь рядом с разделом…","«Научная и познавательная литература».","1"
"Бывая в книжном магазине, Вы чаще всего останавливаетесь рядом с разделом…","«Спорт».","2"
"Бывая в книжном магазине, Вы чаще всего останавливаетесь рядом с разделом…","«Искусство и культура».","3"
"Бывая в книжном магазине, Вы чаще всего останавливаетесь рядом с разделом…","«Домашние животные и комнатные растения».","4"
"Бывая в книжном магазине, Вы чаще всего останавливаетесь рядом с разделом…","«История, география и путешествия в разные уголки земного шара».","5"
"Бывая в книжном магазине, Вы чаще всего останавливаетесь рядом с разделом…","«Дом. Быт. Уют».","6"
"Что лучше всего у тебя получается?","Что-либо мастерить","1"
"Что лучше всего у тебя получается?","Попадать в неприятности","2"
"Что лучше всего у тебя получается?","Осваивать новые виды спорта","3"
"Что лучше всего у тебя получается?","Заводить полезные знакомства","4"
"Что лучше всего у тебя получается?","Делать скрупулезную работу","5"
"Что лучше всего у тебя получается?","Удивлять других людей","6"
"Что для тебя хобби?","Способ отдохнуть и отвлечься от повседневности","1"
"Что для тебя хобби?","Возможность интересных знакомств","2"
"Что для тебя хобби?","Возможность поднять самооценку","3"
"Что для тебя хобби?","Возможность проявить творческие способности","4"
"Что для тебя хобби?","Возможность проявить себя","5"
"Что для тебя хобби?","Возможность познать себя","6"
"Что тебе больше нравится?","Экспериментировать и узнавать что-то новое","1"
"Что тебе больше нравится?","Изучать что-то, докапываться до сути","2"
"Что тебе больше нравится?","Находить новых друзей или единомышленников","3"
"Что тебе больше нравится?","Учиться делать что-то новое","4"
"Что тебе больше нравится?","Контролировать и делать что-то качественно","5"
"Что тебе больше нравится?","Придумывать что-то новое","6"
"Какая из ниже представленных характеристик тебе подходит?","Душа компании","1"
"Какая из ниже представленных характеристик тебе подходит?","Домосед","2"
"Какая из ниже представленных характеристик тебе подходит?","Мечтатель","3"
"Какая из ниже представленных характеристик тебе подходит?","Авантюрист","4"
"Какая из ниже представленных характеристик тебе подходит?","Экспериментатор","5"
"Какая из ниже представленных характеристик тебе подходит?","Искатель","6"
"Представь, что ты на блошином рынке. Что тебя больше заинтересует?","Украшения ручной работы","1"
"Представь, что ты на блошином рынке. Что тебя больше заинтересует?","Картины","2"
"Представь, что ты на блошином рынке. Что тебя больше заинтересует?","Головоломка","3"
"Представь, что ты на блошином рынке. Что тебя больше заинтересует?","Необычные поделки","4"
"Представь, что ты на блошином рынке. Что тебя больше заинтересует?","Холодное оружие","5"
"Представь, что ты на блошином рынке. Что тебя больше заинтересует?","Горнолыжный костюм","6"
